id , 3HSP Source name , BZcat name , R.A. , Dec , NVSS/FIRSTflux density(mJy) , Redshift , X-ray flux d. @ 1keV (μJy) , Log(peak flux) , FOM , γ-ray counterpart , Fermi γ-ray slope , 2WHSP name
978 , 3HSPJ112503.6+214300 , 5BZBJ1125+2143 , 171.26517 , 21.71667 , 8.1 , 0.36 ,  , -12.1 , 0.32 ,  , 2.03 , 
979 , 3HSPJ112508.6-210105 ,  , 171.28596 , -21.01806 , 36.4 , 0.24 , 0.17 , -11.7 , 0.79 ,  , 1.78 , 2WHSPJ112508.5-210105
980 , 3HSPJ112552.0-074220 , 5BZBJ1125-0742 , 171.46658 , -7.70556 , 39.4 , 0.279 , 0.25 , -11.9 , 0.5 ,  , 1.95 , 2WHSPJ112551.9-074220
981 , 3HSPJ112612.0-203724 ,  , 171.54996 , -20.62333 , 22.9 , 0.35 , 0.76 , -12 , 0.4 ,  , 2.16 , 2WHSPJ112611.8-203723
982 , 3HSPJ112635.6-425212 ,  , 171.64842 , -42.87 , 19.8 , 0.29 , 0.79 , -12 , 0.4 ,  ,  , 2WHSPJ112635.5-425211
983 , 3HSPJ112727.0+290829 ,  , 171.86337 , 29.14139 , 5.2 , 0.57 , 0.09 , -12.7? , 0.08 ,  ,  , 2WHSPJ112727.1+290829
984 , 3HSPJ112912.5-101349 ,  , 172.30221 , -10.23028 , 5.8 ,  , 0.08 , -12.4 , 0.16 ,  , 2.09 , 2WHSPJ112912.4-101349
985 , 3HSPJ112946.3+585057 ,  , 172.44271 , 58.84917 , 3.6 , 0.75 ,  , -13.1 , 0.03 ,  ,  , 2WHSPJ112946.1+585057
986 , 3HSPJ113032.1-780105 ,  , 172.63358 , -78.01806 , 135.8 , 0.23 , 0.81 , -11.3 , 2 , 2FHL J1130.4-7801 , 1.74 , 2WHSPJ113031.9-780105
987 , 3HSPJ113046.1-313807 ,  , 172.69225 , -31.63528 , 23.5 , 0.151 , 0.49 , -11.9 , 0.5 , 2FHL J1130.8-3137 , 1.28 , 2WHSPJ113046.0-313807
988 , 3HSPJ113105.3-094406 ,  , 172.77196 , -9.735 , 22 , 0.33 , 0.4 , -11.9 , 0.5 ,  , 1.84 , 2WHSPJ113105.2-094405
989 , 3HSPJ113209.3-473853 ,  , 173.03858 , -47.64806 , 18.4 , 0.21 , 0.81 , >-11.6 , 1 ,  , 2.11 , 2WHSPJ113209.1-473853
990 , 3HSPJ113302.9+184704 ,  , 173.26229 , 18.78444 , 3.9 , 0.716 , 0.12 , -12.3 , 0.2 ,  ,  , 2WHSPJ113302.8+184703
991 , 3HSPJ113405.9+483904 ,  , 173.52467 , 48.65111 , 0.8 , 0.749 , 0.05 , -12.7 , 0.08 ,  ,  , 2WHSPJ113405.8+483903
992 , 3HSPJ113444.7-172901 , 5BZBJ1134-1729 , 173.68625 , -17.48361 , 5 , 0.571 , 0.5 , -12.1 , 0.32 ,  , 1.58 , 2WHSPJ113444.6-172900
993 , 3HSPJ113459.5+213456 ,  , 173.74808 , 21.58222 , 1.7 , 0.602 ,  , -13.1 , 0.03 ,  ,  , 2WHSPJ113459.5+213455
994 , 3HSPJ113626.4+700927 , 5BZBJ1136+7009 , 174.11008 , 70.1575 , 328.6 , 0.045 , 2.54 , -10.8 , 6.31 , 2FHL J1136.5+7009 , 1.82 , 2WHSPJ113626.4+700926
995 , 3HSPJ113630.0+673704 , 5BZBJ1136+6737 , 174.12542 , 67.61778 , 45.9 , 0.134 , 2.4 , -11.1 , 3.16 , 2FHL J1136.8+6737 , 1.72 , 2WHSPJ113630.1+673704
996 , 3HSPJ113641.1+234726 ,  , 174.17133 , 23.79056 , 15.4 , 0.38 ,  , -12.3 , 0.2 ,  ,  , 2WHSPJ113641.0+234726
997 , 3HSPJ113650.0+255052 , 5BZGJ1136+2550 , 174.20879 , 25.84778 , 16.4 , 0.155 , 0.11 , -12 , 0.4 ,  , 1.68 , 
998 , 3HSPJ113755.6-171042 , 5BZBJ1137-1710 , 174.48175 , -17.17833 , 5.3 , 0.6 , 0.65 , -11.4 , 1.58 , 2FHL J1137.9-1710 , 1.69 , 2WHSPJ113755.6-171041
999 , 3HSPJ113900.8+553035 ,  , 174.75321 , 55.50972 , 1.4 , 0.63 , 0.1 , -12.4 , 0.16 ,  ,  , 2WHSPJ113900.7+553034
1000 , 3HSPJ113921.9+312931 ,  , 174.84125 , 31.49194 , 3.7 , 0.509 , 0.1 , -12.7? , 0.08 ,  ,  , 2WHSPJ113921.8+312930
1001 , 3HSPJ113922.3+612644 ,  , 174.843 , 61.44556 ,  , 0.53 ,  , -13.3 , 0.02 ,  ,  , 2WHSPJ113922.3+612644
1002 , 3HSPJ114023.5+152809 , 5BZBJ1140+1528 , 175.09783 , 15.46917 , 70.1 , 0.24 , 0.75 , -11.6 , 1 ,  , 1.26 , 2WHSPJ114023.4+152809
1003 , 3HSPJ114117.6+064123 ,  , 175.32333 , 6.68972 , 6 , 0.672 , 0.12 , -12.5? , 0.13 ,  ,  , 2WHSPJ114117.5+064122
1004 , 3HSPJ114118.7+680429 ,  , 175.32775 , 68.07472 , 22.5 , 0.57 , 0.03 , -12.8 , 0.06 ,  , 1.61 , 2WHSPJ114118.5+680428
1005 , 3HSPJ114141.1-140754 ,  , 175.42417 , -14.13167 , 59.9 , 0.32 , 0.35 , -11.9 , 0.5 ,  , 2.18 , 2WHSPJ114141.8-140754
1006 , 3HSPJ114221.8+334201 ,  , 175.59071 , 33.70028 , 5.1 , 0.409 , 0.05 , -12.5 , 0.13 ,  ,  , 2WHSPJ114221.7+334201
1007 , 3HSPJ114222.6-130643 ,  , 175.59429 , -13.11194 , 3.7 , 0.33 , 0.11 , -12.3 , 0.2 ,  ,  , 2WHSPJ114222.6-130642
1008 , 3HSPJ114352.7+155821 ,  , 175.96946 , 15.9725 , 8.4 , 0.67 , 0.11 , -12.4 , 0.16 ,  ,  , 2WHSPJ114352.6+155821
1009 , 3HSPJ114523.4+334744 ,  , 176.34742 , 33.79556 , 8.2 , 0.51 , 0.06 , -12.5? , 0.13 ,  ,  , 2WHSPJ114523.2+334744
1010 , 3HSPJ114535.1-034001 , 5BZGJ1145-0340 , 176.39633 , -3.66694 , 19.7 , 0.167 , 0.56 , -11.9 , 0.5 ,  ,  , 2WHSPJ114535.1-034000
1011 , 3HSPJ114600.8-063854 ,  , 176.50354 , -6.64833 , 8.4 , 0.37 ,  , -12.2 , 0.25 , 3FHL J1145.9-0637 , 1.92 , 
1012 , 3HSPJ114709.0-323003 ,  , 176.78746 , -32.50083 , 3.9 , 0.37 , 0.61 , -12 , 0.4 ,  ,  , 2WHSPJ114708.8-323002
1013 , 3HSPJ114746.4+673906 ,  , 176.9435 , 67.65167 , 7 , 0.78 , 0.02 , -13.3 , 0.02 ,  ,  , 2WHSPJ114746.3+673906
1014 , 3HSPJ114747.1-211640 ,  , 176.94962 , -21.27778 , 4.2 , 0.35 , 0.18 , -12.2 , 0.25 ,  ,  , 2WHSPJ114747.8-211640
1015 , 3HSPJ114755.1+220540 , 5BZGJ1147+2205 , 176.97958 , 22.09444 , 4.3 , 0.276 , 0.45 , -12? , 0.4 ,  ,  , 2WHSPJ114755.0+220539
1016 , 3HSPJ114830.5-074508 ,  , 177.12692 , -7.75222 , 2.7 ,  ,  , -12 , 0.4 ,  ,  , 2WHSPJ114830.4-074507
1017 , 3HSPJ114930.4+243926 , 5BZBJ1149+2439 , 177.37646 , 24.65722 , 28.6 , 0.402 , 1.24 , -11.6 , 1 ,  , 2.11 , 2WHSPJ114930.3+243925
