id , Source name , Counterpart name , Class , RA (J2000.0) , Dec (J2000.0) , Significance , Flux 10-2000 GeV (ph/cm2/s) , Flux 10-2000 GeV Error , Spectral Index , Spectral Index Error , Log Nu peak (Hz) , Redshift , TeV Cat , Prev. Fermi Assoc.
1022 , 3FHL J1542.1-2915  , NVSS J154203-291509  , bcu  , 235.52500915527344 , -29.254884719848633 , 6.82 , 4.566e-11 , 1.364e-11 , 1.735 , 0.592 , 16 , 0.000 ,   ,  
1023 , 3FHL J1543.0+6129  , GB6 J1542+6129  , bll  , 235.7562713623047 , 61.49793243408203 , 36.91 , 4.230e-10 , 3.321e-11 , 2.613 , 0.239 , 14.64 , 0.507 ,   , 3FGL J1542.9+6129 
1024 , 3FHL J1543.6+0452  , CGCG 050-083  , bcu  , 235.90000915527344 , 4.879972457885742 , 9.21 , 6.879e-11 , 1.658e-11 , 1.8 , 0.543 , 14.7 , 0.04 ,   , 3FGL J1543.5+0451 
1025 , 3FHL J1544.9-6641  , PMN J1544-6641  , bcu  , 236.2465057373047 , -66.68923950195312 , 11.11 , 7.290e-11 , 1.544e-11 , 1.95 , 0.322 , 0 , 0.000 ,   , 3FGL J1545.0-6641 
1026 , 3FHL J1545.7-2338  , NVSS J154546-233929  , bcu  , 236.44271850585938 , -23.63454818725586 , 4.32 , 3.272e-11 , 1.243e-11 , 1.613 , 0.64 , 15.89 , 0.000 ,   ,  
1027 , 3FHL J1546.1+0818  , 1RXS J154604.6+081912  , bll  , 236.52992248535156 , 8.314809799194336 , 9.54 , 7.830e-11 , 1.726e-11 , 1.946 , 0.501 , 15.63 , 0.000 ,   , 3FGL J1546.0+0818 
1028 , 3FHL J1547.2-2802  , 1RXS J154711.8-280222  , bll  , 236.80117797851562 , -28.045936584472656 , 4.13 , 3.869e-11 , 1.359e-11 , 1.353 , 0.587 , 15.56 , 0.000 ,   , 3FGL J1547.1-2801 
1029 , 3FHL J1547.3-1530  ,   ,   , 236.83749389648438 , -15.505010604858398 , 4.39 , 3.084e-11 , 1.138e-11 , 2.801 , 1.018 , 0 , 0.000 ,   ,  
1030 , 3FHL J1548.4+1456  , WISE J154824.39+145702.8  , bll  , 237.10804748535156 , 14.944402694702148 , 14.06 , 1.177e-10 , 2.083e-11 , 2.338 , 0.453 , 0 , 0.000 ,   , 3FGL J1548.4+1455 
1031 , 3FHL J1548.7-2250  , PMN J1548-2251  , bll  , 237.19973754882812 , -22.84984588623047 , 16.28 , 1.730e-10 , 2.527e-11 , 1.854 , 0.237 , 16.06 , 0.192 ,   , 3FGL J1548.8-2250 
1032 , 3FHL J1549.7-3045  , NVSS J154946-304501  , bcu  , 237.44761657714844 , -30.751638412475586 , 5.62 , 3.762e-11 , 1.248e-11 , 2.166 , 0.592 , 0 , 0.000 ,   , 3FGL J1549.9-3044 
1033 , 3FHL J1549.9-0659  , NVSS J154952-065907  , bcu  , 237.49435424804688 , -6.991204261779785 , 12.67 , 1.114e-10 , 2.087e-11 , 1.922 , 0.387 , 17.35 , 0.000 ,   , 3FGL J1549.7-0658 
1034 , 3FHL J1550.7+6027  ,   ,   , 237.69227600097656 , 60.45899963378906 , 5.56 , 2.390e-11 , 8.410e-12 , 2.051 , 0.611 , 0 , 0.000 ,   , 3FGL J1550.4+6027 
1035 , 3FHL J1550.8-0822  , NVSS J155053-082247  , bcu  , 237.71763610839844 , -8.370769500732422 , 4.68 , 2.414e-11 , 1.014e-11 , 1.549 , 0.747 , 15.55 , 0.000 ,   ,  
1036 , 3FHL J1552.7-5611e , MSH 15-56  , spp  , 238.1999969482422 , -56.189998626708984 , 22.18 , 5.800e-10 , 4.771e-11 , 2.339 , 0.179 , 0 , 0.000 ,   , 3FGL J1552.9-5610 
1037 , 3FHL J1553.6-3119  , 1RXS J155333.4-311841  , bll  , 238.4059600830078 , -31.329174041748047 , 10.5 , 1.061e-10 , 2.038e-11 , 2.381 , 0.507 , 15.44 , 0.000 ,   , 3FGL J1553.5-3118 
1038 , 3FHL J1553.8-2425  ,   ,   , 238.46070861816406 , -24.420581817626953 , 4.55 , 3.591e-11 , 1.231e-11 , 1.652 , 0.493 , 13.25 , 0.000 ,   , 3FGL J1553.3-2421 
1039 , 3FHL J1553.8-5325e ,   ,   , 238.45599365234375 , -53.42599868774414 , 14.12 , 1.120e-9 , 9.049e-11 , 2.092 , 0.182 , 0 , 0.000 ,   , 3FGL J1552.8-5330 
