id , BZCAT5 Source name , Other name , BZCAT name , RA (J2000.0) , Dec (J2000.0) , Redshift , Redshiftflag , Rmag , Source classification , Flux density 1.4/0.843GHz(mJy) , Flux density 5.0GHz(mJy) , Flux density143GHz(mJy) , X-ray flux0.1-2.4 keV(1.e-12 cgs) , Fermi flux1-100 GeV(ph/cm2/s)
2764 , 5BZUJ1706+3214 , ROXAJ170647.9+321422.8 , BZUJ1706+3214  , 256.70025 , 32.23964 , 1.07 ,  , 16.3 , Blazar Uncertain type , 133 , 62 ,  , 0.3 , 
2765 , 5BZQJ1707+4536 , 4C 45.34  , BZQJ1707+4536  , 256.824 , 45.60292 , 0.645 ,  , 17.1 , QSO RLoud flat radio sp. , 795 , 461 ,  , 0.28 , 
2766 , 5BZQJ1707+1122 , GB6B1705+1125  , BZQJ1707+1122  , 256.88529 , 11.36686 , 2.406 ,  , 19.8 , QSO RLoud flat radio sp. , 109 , 117 ,  ,  , 
2767 , 5BZQJ1707+0148 , PKS1705+018  , BZQJ1707+0148  , 256.89342 , 1.81269 , 2.565 ,  , 18.3 , QSO RLoud flat radio sp. , 464 , 436 ,  ,  , 
2768 , 5BZQJ1707+1331 , GB6J1707+1331  , BZQJ1707+1331  , 256.94017 , 13.51811 , 0.936 ,  , 17 , QSO RLoud flat radio sp. , 302 , 412 ,  , 1.34 , 
2769 , 5BZQJ1708+0035 , BZQJ1708+0035  , BZQJ1708+0035  , 257.18604 , 0.58597 , 0.449 ,  , 20.5 , QSO RLoud flat radio sp. , 697 , 396 ,  ,  , 
2770 , 5BZQJ1709+4318 , GB6J1709+4318  , BZQJ1709+4318  , 257.42121 , 43.31236 , 1.027 ,  , 19 , QSO RLoud flat radio sp. , 143 , 117 ,  , 0.1 , 2.2e-9
2771 , 5BZQJ1710-0355 , CRATESJ171014-035539 , BZBJ1710-0355  , 257.57171 , -3.93058 , 1.923 ,  , 18.7 , QSO RLoud flat radio sp. , 441 , 388 ,  ,  , 
2772 , 5BZBJ1712+2931 , BZBJ1712+2931  , BZBJ1712+2931  , 258.20296 , 29.52153 , 0.421 ,  ?  , 17.8 , BL Lac , 16 ,  ,  , 0.37 , 
2773 , 5BZQJ1713+4916 , TEX1712+493  , BZQJ1713+4916  , 258.39646 , 49.27569 , 1.552 ,  , 21 , QSO RLoud flat radio sp. , 202 , 183 ,  ,  , 
